record - leader,001 Control Number,008 Fixed-Length Data Elements,035^$ $ $a System Control Number,040^$ $ $a Cataloging Source,245^$0$0$a Title,245^$0$2$a Title - w Article,245^$0$3$a Title - w Article,245^$0$4$a Title - w Article,"260^$ $ $a Publication, Distribution",310^$ $ $a Current Publication Frequency,336 Content Type,337 Media Type,338 Carrier Type,653 Index Term - Uncontrolled,"264 Production, Publication, Distribution, Manufacture, and Copyright Notice",996,998,650 Subject Added Entry - Topical Term,710 Added Entry - Corporate Name,246 Varying Form of Title,500 General Note,775 Other Edition Entry,022 International Standard Serial Number,247 Former Title,321 Former Publication Frequency,580 Linking Entry Complexity Note,546 Language Note,521 Target Audience Note,900,300 Physical Description,490 Series Statement,700 Added Entry - Personal Name,041 Language Code,773 Host Item Entry,981,711 Added Entry - Meeting Name,856 Electronic Location and Access,110 Main Entry - Corporate Name,901,692 Local Subject Access Fields,250 Edition Statement,525 Supplement Note,600 Subject Added Entry - Personal Name,983,505 Formatted Contents Note
00702nas  2200217u  4500,9917435310101480,960701q19811995be br|p||     0|||a|und c,,Language of cataloging varies,Guatemala informatie.,,,,Veurne$ $ $bVlaams Guatemala komitee$ $ $c1983-[1991],Other,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $abasisgemeenschappen$ $ $6(ODIS-TW)215,,,^$ $ $aFrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001743531LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917435310101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00587nas  2200169u  4500,9917435650101480,960701q19811995be br|p||     0|||a|und c,,Language of cataloging varies,Beweging,,,,Sint-Niklaas$ $ $bACW. Verbond Land van Waas$ $ $c[1983]-[1986],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001743565LBS01-Aleph,rda based,driemaandelijks tijdschrift van de christelijke werknemers verbond Land en Waas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917435650101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00584nas  2200193u  4500,9917489000101480,960726q19841997be qr|p||     0|||a|dut c,,BeLVLBS,,,'t Merelnestje.,,S.l.$ $ $bVriendenkring 't merelnestje$ $ $c1984-[1997],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aHOOFDTREFWOORD-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001748900LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6595280,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917489000101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00772nas  2200205u  4500,9917630210101480,960726q19841997be qr|p||     0|||a|dut c,,Language of cataloging varies,Welzijnswerk. Service en informatie.,,,,Brussel$ $ $bVerbond van instellingen voor welzijnswerk$ $ $c1984-[1996],Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aVIW$ $ $gVerbond van instellingen voor welzijnswerk$ $ $4oth^$2$ $aFederatie van autonome centra voor maatschappelijk werk$ $ $4oth^$2$ $aFederatie van consultatiebureaus voor levens- en gezinsproblemen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001763021LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917630210101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00812nas  2200253u  4500,9917630600101480,960726q19841997be qr|p||     0|||a|dut c,,Language of cataloging varies,Lekkernieuws Covee,,,,,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1984-[2005]^$ $1$aKampenhout$ $ $bCovee$ $ $31984-[2005],^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alandbouw$ $ $6(ODIS-TW)1131,^$2$ $aCovee$ $ $4oth,,^$ $ $aPeriodiciteit varieert,,,^$1$0$aCovee's Lekkernieuws$ $ $g1993-1996^$1$0$aDe Lekkerkrant$ $ $g1984-1993,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001763060LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917630600101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00554nas  2200181u  4500,9917642190101480,960726q19841997be qr|p||     0|||a|dut c,,Language of cataloging varies,,,'t Aceeveetje.,,Aalst$ $ $bACV. Verbond Aalst$ $ $c[1981]-[1983],Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001764219LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917642190101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00537nas  2200181u  4500,9917643770101480,960726q19841997be qr|p||     0|||a|dut c,,Language of cataloging varies,,,'t ACV krantje.,,Leuven$ $ $bACV. Verbond Leuven$ $ $c1983-[1985],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aACV. Verbond Leuven.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001764377LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917643770101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00534nas  2200181u  4500,9917675490101480,961003d19819999be ur|p||     0|||a|fre c,,BeLVLBS,Bulletin de l'Armée de Marie.,,,,S.l.$ $ $bArmée de Marie$ $ $c[1981]-?,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aArmée de Marie$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001767549LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6681642,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917675490101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00603nas  2200181u  4500,9917692320101480,961008q19841989be qr|p||     0|||a|fre c,,BeLVLBS,CEPO. Bulletin de liaison.,,,,Bruxelles$ $ $bCommission d'étude et de pastorale ouvrière$ $ $c[1984]-[1989],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aCommission d'étude et de pastorale ouvrière.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001769232LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6689755,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917692320101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00529nas  2200181u  4500,9917706850101480,961014q19841990be br|p||     0|||a|dut c,,BeLVLBS,CAO-tijdingen.,,,,Gent$ $ $bCAO Sint-Lucas$ $ $c[1984]-[1990],Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aCAO Sint-Lucas$ $ $cGent$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001770685LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6696036,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917706850101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00678nas  2200205u  4500,9917720460101480,961014q19841990be br|p||     0|||a|dut c,,Language of cataloging varies,Herfstlicht-eigentijds.,,,,Brussel$ $ $bKristelijke beweging van gepensioneerden$ $ $c1985-1997,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,^$1$8$w(BeLVLBS)001026223LBS01-Aleph$ $ $tHerfstlicht$ $ $4780,,,,^$ $ $aVoortzetting van : Herfstlicht^$ $ $aVoortgezet als : Eigentijds,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001772046LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917720460101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00575nas  2200169u  4500,9917818650101480,961014q19841990be br|p||     0|||a|dut c,,Language of cataloging varies,Christelijk verbond van ziekenfondsen. Jeugddienst. Nieuwsbrief.,,,,Antwerpen$ $ $bChristelijk verbond van ziekenfondsen. Jeugddienst$ $ $c[1982]-?,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001781865LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917818650101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00525nas  2200181u  4500,9917824560101480,961119q19831985be mr|p||     0|||a|dut c,,BeLVLBS,,,'t Zaaierke.,,Mechelen$ $ $b't Zaaierke$ $ $c1983-[1985],Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001782456LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6754927,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917824560101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9917844240101480,961125q19831985be qr|p||     0|||a|dut c,,BeLVLBS,Geloof en licht.,,,,Onze-Lieve-Vrouw-Waver$ $ $bGeloof en licht$ $ $c1983-[1985],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aGeloof en licht$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001784424LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6765296,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917844240101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00630nas  2200193u  4500,9917845350101480,961125q19831985be ur|p||     0|||a|dut c,,BeLVLBS,Lourdes : kontaktblad.,,,,Leopoldsburg$ $ $bLourdesbedevaart van het Belgisch leger$ $ $c[1983]-[1985],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aLourdesbedevaart van het Belgisch leger$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001784535LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6765766,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917845350101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00550nas  2200169u  4500,9917875680101480,961125q19831985be ur|p||     0|||a|dut c,,Language of cataloging varies,Info.,,,,"Mol$ $ $bChristelijke centrale van werknemers uit de steen-, cement-, ceramiek- en glasbedrijven$ $ $c1984-[1987]",Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001787568LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917875680101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00545nas  2200181u  4500,9917886540101480,961204q19839999be ur|p||     0|||a|dut c,,BeLVLBS,,,De Franciscaanse lekenorde.,,S.l.$ $ $bFranciscaanse lekenorde$ $ $c[1983]-?,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001788654LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6784216,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917886540101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00636nas  2200205u  4500,9917896540101480,961209q19851988be br|p||     0|||a|dut c,,BeLVLBS,JA.,,,,Turnhout$ $ $bDekenij Turnhout. Jeugdwerking Abram$ $ $c1985-[1988],Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aDekenij Turnhout. Jeugdwerking Abram$ $ $4oth,^$1$1$aJeugdwerking Abram,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001789654LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6788972,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917896540101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00691nas  2200229u  4500,9917906510101480,961210q19822009be ur|p||     0|||a|dut c,,BeLVLBS,,,De Ranchi-vriend,,,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-^$ $1$aRanchi$ $ $bDe Ranchi-vriend$ $ $3[1982]-[2009],^$ $ $aKADOC$ $ $bphysical$ $ $c201702$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001790651LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6793329,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917906510101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00700nas  2200217u  4500,9917922580101480,961216q19822010be qr|p||     0|||a|fre c,,BeLVLBS,,,Le fil.,,Bruxelles$ $ $bLumen Vitae$ $ $c[1982]-[2010],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT),"^$2$ $aCentre International d'Etudes de la Formation Réligieuse,$ $ $d1946-$ $ $4oth",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001792258LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6801186,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917922580101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9917922870101480,961216q19822003be qr|p||     0|||a|dut c,,BeLVLBS,Kontakt.,,,,Antwerpen$ $ $bGezinspastoraal. Bisdom Antwerpen$ $ $c[1982]-[2003],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aGezinspastoraal. Bisdom Antwerpen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001792287LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6801288,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917922870101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00667nas  2200205u  4500,9917967020101480,970113q19851998cg ur|p||     0|||a|fre c,,BeLVLBS,Tous ensemble : bulletin d'information du diocèse de Kalemie-Kirungu.,,,,S.l.$ $ $bTous ensemble$ $ $c[1985]-[1998],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001796702LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6823700,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917967020101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00477nas  2200169u  4500,9917992980101480,970120quuuu1984be ur|p||     0|||a|dut c,,BeLVLBS,CVD-info haven.,,,,Zeebrugge$ $ $bCVD$ $ $c[?]-[1984],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001799298LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6836532,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917992980101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00690nas  2200193u  4500,9917997640101480,970120quuuu1984be ur|p||     0|||a|dut c,,Language of cataloging varies,Bureau international catholique de l'enfance. Contact.,,,,Genève$ $ $bBureau international catholique de l'enfance$ $ $c[1985]-[1987],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aBICE$ $ $gBureau international catholique de l'enfance$ $ $4oth,,"^$ $ $aOok Engelse, Spaanse en Duitse editie",,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001799764LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917997640101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00734nas  2200217u  4500,9917997870101480,970120quuuu1984be ur|p||     0|||a|dut c,,Language of cataloging varies,,,Le courrier du CGAL,,,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1983]-[1996]^$ $1$aBruxelles$ $ $bConseil Général de l'Apostolat des Laïcs$ $ $3[1983]-[1996],^$ $ $aKADOC$ $ $bphysical$ $ $c202001$ $ $9local,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alekenapostolaat$ $ $6(ODIS-TW)1167,^$2$ $aConseil général de l'apostolat des laïcs.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001799787LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9917997870101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00573nas  2200193u  4500,9918002820101480,970122q19811988be ur|p||     0|||a|dut c,,BeLVLBS,Clauwaert-info.,,,,Korbeek-Lo$ $ $bDe Clauwaert$ $ $c[1981]-[1988],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001800282LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6840862,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918002820101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00678nas  2200205u  4500,9918003410101480,970122q19811996be ur|p||     0|||a|dut c,,BeLVLBS,CMBV. Contact.,,,,Sint-Truiden$ $ $bCMBV. St. Truiden$ $ $c[1981]-[1996],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amiddenstand$ $ $6(ODIS-TW)1293,^$2$ $aCMBV. St. Truiden$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001800341LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6841080,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918003410101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00729nas  2200229u  4500,9918014960101480,970127q19841990be mr|p||     0|||a|dut c,,BeLVLBS,Dossier Nicaragua.,,,,,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1984]-[1990]^$ $1$aBrussel$ $ $bKommitee Europa-Nicaragua,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aKommitee Europa-Nicaragua$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001801496LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6846309,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918014960101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
